,Follower,Following
0,1930184042,2336440088
0,137394430,2336440088
0,91697719,2336440088
0,1273521451212181505,2336440088
0,4905833366,2336440088
0,864922788,2336440088
0,27546319,2336440088
0,119512412,2336440088
0,40156543,2336440088
0,816586022599307264,2336440088
0,1202581192706420736,16868154
0,1974656552,16868154
0,34899963,16868154
0,246351032,16868154
0,54355949,16868154
0,2190079770,16868154
0,429883491,16868154
0,39816889,16868154
0,89276202,16868154
0,28116928,16868154
0,329480502,1111871
0,47364026,1111871
0,267629418,1111871
0,7491832,1111871
0,64543,1111871
0,329035458,1111871
0,1009337839820173312,1111871
0,2665556600,1111871
0,18232237,1111871
0,14097277,1111871
0,1091596521928151040,1080724857552199682
0,967660415571415040,1080724857552199682
0,1093120896133300225,1080724857552199682
0,903224219294588928,1080724857552199682
0,4700288124,1080724857552199682
0,916362274217934848,1080724857552199682
0,1069443327676698624,1080724857552199682
0,983659627437961217,1080724857552199682
0,1093072407768662016,1080724857552199682
0,946199680286887937,1080724857552199682
0,172730380,2317814702
0,2830951183,2317814702
0,3707214743,2317814702
0,808397929673269249,2317814702
0,2996506102,2317814702
0,727553323230965761,2317814702
0,529293855,2317814702
0,16868154,2317814702
0,2297404543,2317814702
0,64987892,2317814702
0,2450416195,1201412834
0,2450416195,1205829984
0,2450416195,37213193
0,2450416195,2475100490
0,2450416195,6639572
0,2450416195,38282454
0,2450416195,18781059
0,2450416195,15492359
0,2450416195,1435634714
0,2450416195,616219267
0,19690273,89413522
0,19690273,42533156
0,19690273,24361421
0,19690273,228535666
0,19690273,822037908
0,19690273,51104447
0,19690273,372723954
0,19690273,19212658
0,19690273,27402074
0,19690273,2311689384
0,301939006,1136159698405797888
0,301939006,2815077014
0,301939006,717728037383643136
0,301939006,3075333501
0,301939006,2821239556
0,301939006,2960254264
0,301939006,957274514
0,301939006,806850055
0,301939006,3937965861
0,301939006,220802395
0,2460368252,737066055986774016
0,2460368252,702292275435450369
0,2460368252,299779812
0,2460368252,3232908912
0,2460368252,44734712
0,2460368252,86101920
0,2460368252,2174482088
0,2460368252,6779042
0,2460368252,2713589684
0,2460368252,1204853272583892992
0,305236970,6062112
0,305236970,547765625
0,305236970,555242876
0,305236970,1142108681259147271
0,305236970,434839840
0,305236970,937499232
0,305236970,125403342
0,305236970,1331198826
0,305236970,86626845
0,305236970,958237954148839424
